hs_code,product_description,rule_name,step_order,step_type,step_content,threshold_value,exceptions
040640,同上,RCEP,1,RVC,,40,
040690,其他乳酪,RCEP,1,CTC,CC,,
040690,同上,RCEP,1,RVC,,40,
040711,鸡的孵化用受精禽蛋,RCEP,1,WO,,,
040719,其他孵化用受精禽蛋,RCEP,1,WO,,,
040721,鸡的新鲜蛋,RCEP,1,WO,,,
040729,其他新鲜蛋,RCEP,1,WO,,,
040790,其他带壳禽蛋,RCEP,1,CTC,CC,,
0408,去壳禽蛋及蛋黄,RCEP,1,CTC,CC,,
0409,天然蜂蜜,RCEP,1,CTC,CC,,
0410,其他税号未列名的食用动物产品,RCEP,1,CTC,CC,,
0501,未经加工的人发不论是否洗涤；废人发,RCEP,1,CTC,CC,,
0502,猪鬃猪毛；獾毛及其他制刷用兽毛；上述鬃毛的废料,RCEP,1,CTC,CC,,
0504,整个或切块的动物（鱼除外）的肠膀胱及胃,RCEP,1,CTC,CC,,0101-0106
0505,带有羽毛或羽绒的鸟皮及鸟体其他部分；羽毛及不完整羽毛羽绒,RCEP,1,CTC,CC,,
0506,骨及角柱未经加工或经脱脂简单整理酸处理或脱胶,RCEP,1,CTC,CC,,
0507,兽牙龟壳鲸须鲸须毛角鹿角蹄甲爪及喙,RCEP,1,CTC,CC,,
0508,珊瑚及类似品未经加工或仅简单整理；软体动物壳甲壳动物壳等,RCEP,1,CTC,CC,,
0510,龙涎香海狸香灵猫香及麝香；斑鍪；胆汁；供配制药用的腺体及其他动物产品,RCEP,1,CTC,CC,,
0511,其他税号未列名的动物产品；不适合供人食用的第一章或第三章的死动物,RCEP,1,CTC,CC,,
06,活树及其他活植物；鳞茎根及类似品；插花及装饰用簇叶,RCEP,1,CTC,CC,,
06,同上,RCEP,1,RVC,,40,
0701,新鲜或冷藏的马铃薯,RCEP,1,WO,,,
0702,新鲜或冷藏的番茄,RCEP,1,WO,,,
0703,新鲜或冷藏的洋葱青葱大蒜韭葱及其他葱属蔬菜,RCEP,1,WO,,,
0704,新鲜或冷藏的卷心菜菜花球茎甘蓝羽衣甘蓝及类似的食用芥菜类蔬菜,RCEP,1,WO,,,
0705,新鲜或冷藏的莴苣及菊苣,RCEP,1,WO,,,
0706,新鲜或冷藏的胡萝卜萝卜色拉甜菜根婆罗门参块根芹小萝卜及类似的食用根茎,RCEP,1,WO,,,
0707,新鲜或冷藏的黄瓜及小黄瓜,RCEP,1,WO,,,
0708,新鲜或冷藏的豆类蔬菜不论是否脱荚,RCEP,1,WO,,,
0709,新鲜或冷藏的其他蔬菜,RCEP,1,WO,,,
0710,冷冻蔬菜（不论是否蒸煮）,RCEP,1,CTC,CC,,
0711,暂时保藏（例如使用二氧化硫气体盐水亚硫酸水或其他防腐液）的蔬菜但不适于直接食用的,RCEP,1,CTC,CC,,
0712,干蔬菜整个切块切片破碎或制成粉状但未经进一步加工的,RCEP,1,CTC,CC,,
0713,脱荚的干豆不论是否去皮或分瓣,RCEP,1,CTC,CC,,
0714,新鲜冷藏冷冻或干的木薯竹芋兰科植物块茎菊芋甘薯及含有高淀粉或菊粉的类似根茎不论是否切片或制成团粒；西谷茎髓,RCEP,1,CTC,CC,,
080111,椰子干的,RCEP,1,CTC,CC,,
080112,椰子未去内壳,RCEP,1,CTC,CC,,
080119,椰子其他,RCEP,1,CTC,CC,,
080121,巴西果未去壳,RCEP,1,CTC,CC,,
080122,巴西果去壳,RCEP,1,CTC,CC,,
080131,腰果未去壳,RCEP,1,CTC,CC,,
080132,腰果去壳,RCEP,1,CTC,CC,,
080132,腰果去壳,RCEP,1,RVC,,40,
080211,扁桃核未去壳,RCEP,1,CTC,CC,,
080212,扁桃核去壳,RCEP,1,CTC,CC,,
080212,扁桃核去壳,RCEP,1,RVC,,40,
080221,榛子未去壳,RCEP,1,CTC,CC,,
080222,榛子去壳,RCEP,1,CTC,CC,,
080222,榛子去壳,RCEP,1,RVC,,40,
080231,核桃未去壳,RCEP,1,CTC,CC,,
080232,核桃去壳,RCEP,1,CTC,CC,,
080232,核桃去壳,RCEP,1,RVC,,40,
080241,栗子未去壳,RCEP,1,CTC,CC,,
080242,栗子去壳,RCEP,1,CTC,CC,,
080242,栗子去壳,RCEP,1,RVC,,40,
080251,阿月浑子果（开心果）未去壳,RCEP,1,CTC,CC,,
080252,阿月浑子果（开心果）去壳,RCEP,1,CTC,CC,,
080252,阿月浑子果（开心果）去壳,RCEP,1,RVC,,40,
080261,马卡达姆坚果（夏威夷果）未去壳,RCEP,1,CTC,CC,,
080262,马卡达姆坚果（夏威夷果）去壳,RCEP,1,CTC,CC,,
080262,马卡达姆坚果（夏威夷果）去壳,RCEP,1,RVC,,40,
080270,可乐果,RCEP,1,CTC,CC,,
080280,槟榔果,RCEP,1,CTC,CC,,
080290,其他坚果,RCEP,1,CTC,CC,,
0803,新鲜或干的香蕉包括芭蕉,RCEP,1,CTC,CC,,
0804,新鲜或干的椰枣无花果菠萝鳄梨番石榴芒果及山竹果,RCEP,1,CTC,CC,,
0805,新鲜或干的柑桔属水果,RCEP,1,CTC,CC,,
0806,新鲜或干的葡萄,RCEP,1,CTC,CC,,
0807,新鲜的甜瓜（包括西瓜）及木瓜,RCEP,1,CTC,CC,,
0808,新鲜的苹果梨及榅桲,RCEP,1,CTC,CC,,
0809,新鲜的杏樱桃桃（包括油桃）梅及李,RCEP,1,CTC,CC,,
0810,其他鲜果,RCEP,1,CTC,CC,,
0811,冷冻水果及坚果不论是否蒸煮加糖或其他甜物质,RCEP,1,CTC,CC,,
0812,暂时保藏（例如使用二氧化硫气体盐水亚硫酸水或其他防腐液）的水果及坚果但不适于直接食用的,RCEP,1,CTC,CC,,
081310,杏干,RCEP,1,CTC,CC,,
081320,梅干,RCEP,1,CTC,CC,,
081330,苹果干,RCEP,1,CTC,CC,,
081340,其他干果,RCEP,1,CTC,CC,,
081350,本章的什锦坚果或干果,RCEP,1,CTC,CC,,
081350,本章的什锦坚果或干果,RCEP,1,RVC,,40,
0814,柑桔属水果或甜瓜（包括西瓜）的果皮鲜冻干或用盐水亚硫酸水或其他防腐液暂时保藏的,RCEP,1,CTC,CC,,
0814,同上,RCEP,1,RVC,,40,
090111,咖啡未焙炒未浸除咖啡碱,RCEP,1,CTC,CC,,
090112,咖啡未焙炒已浸除咖啡碱,RCEP,1,RVC,,40,
090121,咖啡已焙炒未浸除咖啡碱,RCEP,1,RVC,,40,
090122,咖啡已焙炒已浸除咖啡碱,RCEP,1,RVC,,40,
090190,咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,RCEP,1,RVC,,40,
090210,绿茶（未发酵）内包装每件净重不超过3千克,RCEP,1,WO,,,
090220,其他绿茶（未发酵）,RCEP,1,WO,,,
090230,红茶（已发酵）及半发酵茶内包装每件净重不超过3千克,RCEP,1,CTC,CC,,
090230,同上,RCEP,1,RVC,,40,
090240,其他红茶（已发酵）及半发酵茶,RCEP,1,CTC,CC,,
090300,马黛茶,RCEP,1,CTC,CC,,
090411,胡椒未磨,RCEP,1,WO,,,
090412,胡椒已磨,RCEP,1,CTC,CC,,
090421,辣椒干未磨,RCEP,1,WO,,,
090422,辣椒粉,RCEP,1,WO,,,
090510,香子兰豆未磨,RCEP,1,WO,,,
090520,香子兰豆已磨,RCEP,1,CTC,CC,,
090611,锡兰肉桂未磨,RCEP,1,WO,,,
090619,其他肉桂未磨,RCEP,1,WO,,,
090620,肉桂及肉桂花已磨,RCEP,1,CTC,CC,,
090710,丁香（母丁香公丁香及丁香梗）未磨,RCEP,1,WO,,,
090720,丁香已磨,RCEP,1,CTC,CC,,
090811,肉豆蔻未磨,RCEP,1,WO,,,
090812,肉豆蔻已磨,RCEP,1,CTC,CC,,
090821,肉豆蔻衣未磨,RCEP,1,WO,,,
090822,肉豆蔻衣已磨,RCEP,1,CTC,CC,,
090831,豆蔻未磨,RCEP,1,WO,,,
090832,豆蔻已磨,RCEP,1,CTC,CC,,
090921,芫荽子未磨,RCEP,1,WO,,,
090922,芫荽子已磨,RCEP,1,CTC,CC,,
090931,枯茗子未磨,RCEP,1,WO,,,
090932,枯茗子已磨,RCEP,1,CTC,CC,,
090961,茴芹子八角茴香蒿子及小茴香子；杜松果未磨,RCEP,1,WO,,,
090962,茴芹子八角茴香蒿子及小茴香子；杜松果已磨,RCEP,1,CTC,CC,,
091011,姜未磨,RCEP,1,WO,,,
091012,姜已磨,RCEP,1,CTC,CC,,
091020,番红花,RCEP,1,CTC,CC,,
091030,姜黄,RCEP,1,CTC,CC,,
091091,本章注释一（二）所述的混合物,RCEP,1,CTC,CC,,
091091,同上,RCEP,1,RVC,,40,
091099,其他调味香料,RCEP,1,CTC,CC,,
091099,同上,RCEP,1,RVC,,40,
10,谷物,RCEP,1,WO,,,
1101,小麦或混合麦的细粉,RCEP,1,CTC,CC,,
1102,谷物细粉但小麦或混合麦的细粉除外,RCEP,1,CTC,CC,,1001-1008
110311,小麦的粗粒粗粉,RCEP,1,CTC,CC,,
110313,玉米的粗粒粗粉,RCEP,1,CTC,CC,,1005
110319,其他谷物的粗粒粗粉,RCEP,1,CTC,CC,,1001-1008
110320,团粒,RCEP,1,CTC,CC,,1001-1008
110412,燕麦的滚压或制片谷物,RCEP,1,CTC,CC,,
110419,其他谷物的滚压或制片谷物,RCEP,1,CTC,CC,,1001-1008
110422,燕麦的其他加工谷物（去壳制成粒状切片或粗磨）,RCEP,1,CTC,CC,,
110423,玉米的其他加工谷物,RCEP,1,CTC,CC,,1005
110429,其他谷物的其他加工谷物,RCEP,1,CTC,CC,,1001-1008
110430,谷物胚芽整粒滚压制片或磨碎的,RCEP,1,CTC,CC,,1001-1008
1105,马铃薯的细粉粗粉粉末粉片颗粒及团粒,RCEP,1,CTC,CC,,
1106,用品目0713的干豆或品目0714的西谷茎髓及植物根茎块茎制成的细粉粗粉及粉末；用第八章的产品制成的细粉粗粉及粉末,RCEP,1,CTC,CC,,
1107,麦芽不论是否焙制,RCEP,1,CTC,CC,,1001-1008
1108,淀粉；菊粉,RCEP,1,CTC,CC,,
1109,面筋不论是否干制,RCEP,1,CTC,CC,,
1201,大豆不论是否破碎,RCEP,1,WO,,,
120230,未焙炒或未烹煮的花生种子用,RCEP,1,WO,,,
120241,未焙炒或未烹煮的花生未去壳其他,RCEP,1,WO,,,
120242,未焙炒或未烹煮的花生去壳不论是否破碎,RCEP,1,CTC,CC,,
120300,干椰子肉,RCEP,1,WO,,,
120400,亚麻子不论是否破碎,RCEP,1,CTC,CC,,
1205,油菜子不论是否破碎,RCEP,1,WO,,,
120600,葵花子不论是否破碎,RCEP,1,CTC,CC,,
1207,其他含油子仁及果实不论是否破碎,RCEP,1,WO,,,
1208,含油子仁或果实的细粉及粗粉但芥子粉除外,RCEP,1,CTC,CTH,,
1209,种植用的种子果实及孢子,RCEP,1,CTC,CC,,
1210,新鲜或干的啤酒花不论是否研磨或制成团粒；蛇麻腺,RCEP,1,CTC,CC,,
121120,人参,RCEP,1,WO,,,
121130,古柯叶,RCEP,1,WO,,,
121140,罂粟杆,RCEP,1,WO,,,
121190,其他主要用作香料药料杀虫杀菌或类似用途的植物,RCEP,1,CTC,CC,,
1212,新鲜冷藏冷冻或干的刺槐豆海草及其他藻类甜菜及甘蔗；果核果仁及植物产品,RCEP,1,CTC,CC,,
121300,未经处理的谷类植物的茎秆及谷壳,RCEP,1,CTC,CC,,
1214,芜菁甘蓝饲料甜菜饲料用根干草紫苜蓿三叶草驴喜豆饲料羽衣甘蓝羽扇豆巢菜及类似饲料,RCEP,1,CTC,CC,,
1301,虫胶；天然树胶树脂树胶脂及油树脂,RCEP,1,CTC,CC,,
130211,鸦片,RCEP,1,CTC,CC,,
130212,甘草的液汁及浸膏,RCEP,1,CTC,CC,,
130213,啤酒花的液汁及浸膏,RCEP,1,CTC,CC,,
130219,其他植物液汁及浸膏,RCEP,1,CTC,CC,,121120
130220,果胶果胶酸盐及果胶酸酯,RCEP,1,CTC,CC,,
130231,琼脂,RCEP,1,CTC,CC,,
130232,从刺槐豆刺槐豆子或瓜尔豆制得的胶液及增稠剂,RCEP,1,CTC,CC,,
130239,其他从植物产品制得的胶液及增稠剂,RCEP,1,CTC,CC,,
14,编结用植物材料；其他植物产品,RCEP,1,CTC,CC,,
150100,猪脂肪（包括已炼制的猪油）及家禽脂肪但品目0209及1503的货品除外,RCEP,1,CTC,CC,,
150200,牛羊脂肪但品目1503的货品除外,RCEP,1,CTC,CC,,
150300,猪油硬脂液体猪油油硬脂食用或非食用脂油未经乳化混合或其他方法制作,RCEP,1,CTC,CC,,
150400,鱼或海生哺乳动物的油脂及其分离品不论是否精制但未经化学改性,RCEP,1,CTC,CC,,
150500,羊毛脂及从羊毛脂制得的脂肪物质（包括纯净的羊毛脂）,RCEP,1,CTC,CC,,
150600,其他动物油脂及其分离品不论是否精制但未经化学改性,RCEP,1,CTC,CC,,
150710,豆油初榨的不论是否脱胶,RCEP,1,CTC,CC,,
150790,豆油其他,RCEP,1,CTC,CC,,
150790,豆油其他,RCEP,1,RVC,,40,
150800,花生油及其分离品不论是否精制但未经化学改性,RCEP,1,CTC,CC,,
150900,油橄榄油及其分离品不论是否精制但未经化学改性,RCEP,1,CTC,CC,,
151000,其他橄榄油及其分离品不论是否精制但未经化学改性包括掺有品目1509的油或分离品的混合物,RCEP,1,CTC,CC,,
151110,棕榈油初榨的,RCEP,1,WO,,,
151190,棕榈油其他,RCEP,1,CTC,CC,,
151200,葵花油红花油或棉子油及其分离品不论是否精制但未经化学改性,RCEP,1,CTC,CC,,
151311,椰子油初榨的,RCEP,1,CTC,CC,,
151319,椰子油其他,RCEP,1,CTC,CC,,
151321,棕榈仁油或巴巴苏棕榈果油初榨的,RCEP,1,WO,,,
151329,棕榈仁油或巴巴苏棕榈果油其他,RCEP,1,WO,,,
151400,菜子油或芥子油及其分离品不论是否精制但未经化学改性,RCEP,1,CTC,CC,,
151500,其他固定植物油脂（包括希蒙得木油）及其分离品不论是否精制但未经化学改性,RCEP,1,CTC,CC,,
151600,动植物油脂及其分离品全部或部分氢化相互酯化再酯化或反油酸化不论是否精制但未经进一步加工,RCEP,1,CTC,CC,,
151700,人造黄油；本章各种动植物油脂及其分离品混合制成的食用油脂或制品但品目1516的食用油脂及其分离品除外,RCEP,1,CTC,CC,,
151700,同上,RCEP,1,RVC,,40,
151800,动植物油脂及其分离品经过熟炼氧化脱水硫化吹制或在真空惰性气体中加热聚合及用其他化学方法改性的但品目1516的产品除外；本章各种油脂及其分离品混合制成的其他品目未列名的非食用油脂或制品,RCEP,1,CTC,CC,,
151800,同上,RCEP,1,RVC,,40,
152000,粗甘油；甘油水及甘油碱液,RCEP,1,CTC,CC,,
152000,同上,RCEP,1,RVC,,40,
152100,植物蜡（甘油三酯除外）蜂蜡其他虫蜡及鲸蜡不论是否精制或着色,RCEP,1,CTC,CC,,
152200,油鞣回收脂；加工处理油脂物质及动植物蜡所剩的残渣,RCEP,1,CTC,CC,,
160100,肉食用杂碎或动物血制成的香肠及类似产品；用上述产品制成的食品,RCEP,1,CTC,CC,,
160210,均化食品,RCEP,1,CTC,CC,,
160220,动物肝,RCEP,1,CTC,CC,,
160231,火鸡的,RCEP,1,CTC,CC,,
160231,火鸡的,RCEP,1,RVC,,40,
160232,鸡的,RCEP,1,CTC,CC,,
160239,其他家禽的,RCEP,1,CTC,CC,,
160241,猪的后腿及肉块,RCEP,1,CTC,CC,,
160242,猪的前腿及肉块,RCEP,1,CTC,CC,,
160249,猪的其他包括混合的肉,RCEP,1,CTC,CC,,
160250,牛的,RCEP,1,CTC,CC,,
160290,其他包括动物血的食品,RCEP,1,CTC,CC,,
160300,肉鱼甲壳动物软体动物或其他水生无脊椎动物的精及汁,RCEP,1,CTC,CC,,
160300,同上,RCEP,1,RVC,,40,
160411,鲑鱼整条或切块但未绞碎,RCEP,1,CTC,CC,,
160412,鲱鱼整条或切块但未绞碎,RCEP,1,CTC,CC,,
160413,沙丁鱼小沙丁鱼属泰鲱或西鲱整条或切块但未绞碎,RCEP,1,CTC,CC,,
160414,金枪鱼鲣鱼及狐鲣整条或切块但未绞碎,RCEP,1,CTC,CC,,
160415,鲭鱼整条或切块但未绞碎,RCEP,1,CTC,CC,,
160416,鳀鱼整条或切块但未绞碎,RCEP,1,CTC,CC,,
160417,鳢鱼整条或切块但未绞碎,RCEP,1,CTC,CC,,
160419,其他整条或切块但未绞碎,RCEP,1,CTC,CC,,
160419,同上,RCEP,1,RVC,,40,
160420,其他制作或保藏的鱼,RCEP,1,CTC,CC,,
160420,同上,RCEP,1,RVC,,40,
160431,鲟鱼子酱,RCEP,1,CTC,CC,,
160432,鲟鱼子酱代用品,RCEP,1,CTC,CC,,
160500,制作或保藏的甲壳动物软体动物及其他水生无脊椎动物,RCEP,1,CTC,CC,,
170112,甜菜糖未加香料或着色剂的甘蔗原糖,RCEP,1,CTC,CC,,121291
170113,本章子目注释二所述的甘蔗糖,RCEP,1,WO,,,
170114,其他甘蔗糖,RCEP,1,WO,,,
170191,加有香料或着色剂的其他糖,RCEP,1,CTC,CC,,
170191,同上,RCEP,1,RVC,,40,
170199,其他糖,RCEP,1,CTC,CC,,
170199,同上,RCEP,1,RVC,,40,
170200,其他固体糖包括化学纯乳糖麦芽糖葡萄糖及果糖；未加香料或着色剂的糖浆；人造蜜不论是否掺有天然蜂蜜；焦糖,RCEP,1,CTC,CC,,
170300,制糖后所剩的糖蜜,RCEP,1,CTC,CC,,
170400,不含可可的糖食（包括白巧克力）,RCEP,1,CTC,CTH,,
180100,整颗或破碎的可可豆生的或焙炒的,RCEP,1,CTC,CC,,
180200,可可荚壳皮及废料,RCEP,1,CTC,CC,,
180300,可可膏不论是否脱脂,RCEP,1,CTC,CTH,,
180300,同上,RCEP,1,RVC,,40,
180400,可可脂可可油,RCEP,1,CTC,CTH,,
180400,同上,RCEP,1,RVC,,40,
180500,未加糖或其他甜物质的可可粉,RCEP,1,CTC,CTH,,
180500,同上,RCEP,1,RVC,,40,
180600,巧克力及其他含可可的食品,RCEP,1,CTC,CTH,,
180600,同上,RCEP,1,RVC,,40,
190100,麦精；细粉粗粒粗粉淀粉或麦精制的其他品目未列名的食品不含可可或按重量计全脱脂可可含量低于40%；品目0401至0404所列货品制的其他品目未列名的食品不含可可或按重量计全脱脂可可含量低于5%,RCEP,1,CTC,CC,,
190200,面食不论是否煮熟包馅（肉馅或其他馅）或其他方法制作例如通心粉面条汤团馄饨饺子奶油面卷；古斯古斯面食不论是否制作,RCEP,1,CTC,CC,,
190300,珍粉及淀粉制成的珍粉代用品片粒珠粉或类似形状的,RCEP,1,CTC,CC,,
190400,谷物或谷物产品经膨化或烘炒制成的食品（例如玉米片）；其他品目未列名的预煮或经其他方法制作的谷粒（玉米除外）谷物片或经其他加工的谷粒（细粉粗粒及粗粉除外）,RCEP,1,CTC,CC,,
190500,面包糕点饼干及其他烘培糕饼不论是否含可可；圣餐饼装药空囊封缄糯米纸及类似制品,RCEP,1,CTC,CTH,,
190500,同上,RCEP,1,RVC,,40,
200100,蔬菜水果坚果及植物的其他食用部分用醋或醋酸制作或保藏的,RCEP,1,CTC,CC,,
200200,番茄用醋或醋酸以外的其他方法制作或保藏的,RCEP,1,CTC,CC,,
200300,蘑菇及块菌用醋或醋酸以外的其他方法制作或保藏的,RCEP,1,CTC,CC,,
